player_id,uniform_number,name,team,position,birth_day,height,weight,school,player_id,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루실패,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,실책,도루성공률,멀티히트,출루율+장타율,득점권타율,대타타율
50054,59.0,천성호,LG,내야수,1997-10-30,183.0,85.0,광주화정초-충장중-진흥고-단국대-KT-상무-KT,50054,0.237,83,199,173,24,41,9,2,1,57,17,3,1,4,0,17,0,5,29,2,0.329,0.323,4,75.0,8,0.652,0.25,0.154
50066,55.0,강현우,KT,포수,2001-04-13,180.0,90.0,원종초(부천시리틀)-부천중-유신고,50066,0.188,40,78,64,5,12,1,0,1,16,8,0,0,3,1,10,0,0,14,1,0.25,0.293,4,0.0,2,0.543,0.235,0.364
50092,35.0,윤준혁,KT,내야수,2001-07-26,186.0,86.0,역촌초(은평구리틀)-충암중-충암고,50092,0.059,28,18,17,4,1,1,0,0,2,0,1,0,1,0,0,0,0,5,0,0.118,0.059,0,100.0,0,0.177,0.0,0.0
50108,24.0,함창건,LG,외야수,2001-08-18,176.0,83.0,백운초-충암중-충암고,50108,0.188,15,36,32,2,6,2,0,0,8,2,0,0,0,1,3,0,0,9,1,0.25,0.25,0,0.0,1,0.5,0.1,0.2
50150,33.0,손호영,롯데,내야수,1994-08-23,182.0,88.0,의왕부곡초-평촌중-충훈고-LG,50150,0.25,97,375,328,39,82,12,0,4,106,41,7,0,11,4,22,0,10,66,9,0.323,0.313,17,100.0,24,0.636,0.321,0.0
50167,2.0,이주형,키움,외야수,2001-04-02,181.0,80.0,송수초(해운대리틀)-센텀중-경남고-LG,50167,0.24,127,514,446,55,107,22,1,11,164,45,15,1,3,0,37,2,28,115,7,0.368,0.337,1,93.8,28,0.705,0.257,0.222
50204,37.0,박지훈,두산,내야수,2000-09-07,183.0,80.0,김해삼성초-경남중-마산고,50204,0.417,37,55,48,11,20,4,0,1,27,8,1,0,1,0,5,0,1,12,1,0.563,0.481,2,100.0,4,1.044,0.571,0.667
50208,6.0,오명진,두산,내야수,2001-09-04,179.0,79.0,대전신흥초-한밭중-세광고,50208,0.263,107,371,331,38,87,14,4,4,121,41,5,3,7,3,27,1,3,94,3,0.366,0.321,10,62.5,22,0.687,0.235,0.25
50304,23.0,김병휘,키움,내야수,2001-02-16,177.0,79.0,효제초-홍은중-장충고,50304,0.25,7,6,4,2,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0.25,0.5,0,0.0,0,0.75,0.0,0.0
50357,57.0,박주홍,키움,외야수,2001-04-16,187.0,87.0,자양초(하남시리틀)-건대부중-장충고,50357,0.226,102,283,248,33,56,11,3,3,82,23,11,1,2,2,30,0,1,72,5,0.331,0.31,3,91.7,12,0.641,0.219,0.182
50458,58.0,김지찬,삼성,외야수,2001-03-08,163.0,64.0,백사초(이천시리틀)-모가중-라온고,50458,0.281,90,373,317,59,89,9,2,0,102,23,22,3,10,3,38,0,5,44,7,0.322,0.364,1,88.0,24,0.686,0.286,0.0
50500,0.0,황성빈,롯데,외야수,1997-12-19,172.0,76.0,관산초-안산중앙중-소래고-경남대,50500,0.256,79,273,246,43,63,4,4,1,78,22,25,4,3,2,18,0,4,46,3,0.317,0.315,3,86.2,19,0.632,0.213,0.0
50608,54.0,이인한,롯데,외야수,1998-12-24,183.0,95.0,광주대성초-심석중-강릉고-강릉영동대,50608,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
50657,2.0,박민,KIA,내야수,2001-06-05,184.0,84.0,갈산초-성남중-야탑고-KIA-상무,50657,0.202,71,105,94,11,19,5,0,1,27,6,1,0,3,0,5,0,3,33,1,0.287,0.265,3,100.0,4,0.552,0.211,0.25
50704,24.0,임종찬,한화,외야수,2001-09-28,184.0,85.0,청주우암초-청주중-북일고,50704,0.167,17,35,30,2,5,1,0,1,9,2,2,0,0,0,5,0,0,13,0,0.3,0.286,1,100.0,1,0.586,0.2,0.0
50707,41.0,최인호,한화,외야수,2000-01-30,178.0,82.0,송정동초-광주동성중-포항제철고-한화-상무,50707,0.259,78,159,139,7,36,9,0,2,51,19,1,0,1,1,13,0,5,29,5,0.367,0.342,0,100.0,6,0.709,0.3,0.308
50709,63.0,박정현,한화,내야수,2001-07-27,183.0,83.0,부천북초-부천중-유신고-한화-상무,50709,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
50840,8.0,현원회,SSG,내야수,2001-07-08,180.0,95.0,가동초-경상중-대구고-SK,50840,0.305,21,62,59,6,18,1,0,1,22,6,0,0,0,0,3,0,0,16,3,0.373,0.339,0,0.0,4,0.712,0.235,0.5
50854,54.0,최지훈,SSG,외야수,1997-07-23,178.0,82.0,광주수창초-무등중-광주제일고-동국대-SK,50854,0.284,140,574,517,66,147,16,4,7,192,45,28,7,4,5,43,2,5,87,2,0.371,0.342,5,80.0,37,0.713,0.28,0.286
50868,45.0,류효승,SSG,외야수,1996-07-16,190.0,100.0,칠성초-경상중-대구상원고-성균관대-SK,50868,0.287,27,103,94,18,27,5,0,6,50,16,0,1,0,0,7,0,2,28,1,0.532,0.35,0,0.0,7,0.882,0.273,0.5
50901,38.0,안인산,NC,내야수,2001-02-27,181.0,95.0,군포오금초(안양시리틀)-평촌중-야탑고,50901,0.0,4,7,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
50902,68.0,김한별,NC,내야수,2001-01-18,177.0,85.0,효제초-선린중-배재고,50902,0.313,76,72,64,14,20,2,0,0,22,5,1,0,2,0,3,0,3,5,2,0.344,0.371,2,100.0,3,0.715,0.429,0.0
50906,39.0,박영빈,NC,외야수,1997-07-16,182.0,88.0,호원초(의정부리틀)-청량중-충암고-경희대,50906,0.25,16,5,4,8,1,0,0,0,1,1,4,2,0,0,1,0,0,2,0,0.25,0.4,0,66.7,0,0.65,1.0,0.0
50996,53.0,박시원,NC,외야수,2001-05-30,185.0,85.0,광주서림초-광주동성중-광주제일고,50996,0.204,52,60,54,12,11,2,0,1,16,4,1,0,1,0,5,0,0,18,1,0.296,0.271,0,100.0,0,0.567,0.25,0.375
51003,52.0,권동진,KT,내야수,1998-09-12,178.0,83.0,제주신광초-세광중-세광고-원광대-KT-상무,51003,0.225,123,309,271,34,61,12,3,1,82,25,3,1,6,1,30,0,1,91,8,0.303,0.304,15,75.0,12,0.607,0.27,0.5
51005,0.0,김건형,KT,외야수,1996-07-12,182.0,83.0,먼우금초-Lesbois(중)-Timberline(고)-Boise State(대),51005,0.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
51007,31.0,최성민,KT,외야수,2002-07-05,179.0,84.0,송정동초-무등중-광주동성고,51007,0.105,32,21,19,3,2,0,0,0,2,2,1,0,1,0,1,0,0,5,0,0.105,0.15,1,100.0,0,0.255,0.5,0.0
51013,67.0,유준규,KT,외야수,2002-08-16,176.0,69.0,군산신풍초-군산중-군산상고,51013,0.118,35,41,34,13,4,2,0,0,6,3,2,1,0,0,7,0,0,13,0,0.176,0.268,0,66.7,0,0.444,0.111,0.0
51100,7.0,이영빈,LG,내야수,2002-06-17,182.0,82.0,대전동산초(대전중구리틀)-충남중-세광고-LG-상무,51100,0.208,44,75,72,12,15,1,1,3,27,9,1,0,1,1,1,0,0,35,1,0.375,0.216,0,100.0,1,0.591,0.238,0.0
51203,62.0,안재석,두산,내야수,2002-02-15,185.0,75.0,성내초(강동구리틀)-배재중-서울고,51203,0.319,35,147,135,25,43,16,1,4,73,20,2,1,1,0,11,1,0,27,3,0.541,0.37,1,66.7,15,0.911,0.5,0.0
51269,60.0,강현구,두산,외야수,2002-06-16,186.0,98.0,서울도림초(인천남동구리틀)-동산중-인천고,51269,0.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
51298,15.0,박성재,두산,포수,2002-11-18,186.0,98.0,가산초-개성중-부산고-두산-상무,51298,0.0,6,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
51302,58.0,이주형,키움,내야수,2002-07-05,183.0,105.0,이매초-매송중-야탑고-키움-상무,51302,0.313,11,17,16,2,5,0,0,0,5,2,0,0,0,0,1,0,0,7,0,0.313,0.353,0,0.0,1,0.666,0.6,0.143
51344,44.0,김휘집,NC,내야수,2002-01-01,180.0,92.0,양목초(히어로즈리틀)-대치중-신일고-키움,51344,0.249,142,500,429,64,107,18,2,17,180,56,10,2,2,2,40,0,27,89,9,0.42,0.349,19,83.3,29,0.769,0.242,0.333
51359,,장재영,키움,외야수,2002-05-10,187.0,83.0,갈산초-서울신월중-덕수고-키움-상무,51359,0.143,10,16,14,1,2,0,0,0,2,2,1,0,0,0,2,0,0,7,0,0.143,0.25,1,100.0,0,0.393,0.333,0.0
51407,50.0,이창용,삼성,내야수,1999-06-03,184.0,89.0,을지초(노원구리틀)-청량중-신흥고-강릉영동대,51407,0.2,11,17,15,2,3,1,0,1,7,2,1,0,0,0,2,0,0,8,0,0.467,0.294,1,100.0,0,0.761,0.167,0.0
51528,28.0,손성빈,롯데,포수,2002-01-14,186.0,92.0,희망대초-경기신흥중-장안고-롯데-상무,51528,0.145,51,69,62,6,9,0,0,1,12,3,0,0,2,0,4,0,1,20,1,0.194,0.209,1,0.0,0,0.403,0.125,0.0
51551,51.0,나승엽,롯데,내야수,2002-02-15,190.0,82.0,남정초-선린중-덕수고-롯데-상무,51551,0.229,105,392,328,40,75,12,2,9,118,44,0,0,3,1,55,2,5,65,10,0.36,0.347,8,0.0,13,0.707,0.275,0.571
51762,32.0,장규현,한화,포수,2002-06-28,183.0,96.0,인성초(미추홀구리틀)-동인천중-인천고-한화-상무,51762,1.0,2,2,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,1.0,0,0.0,0,2.0,0.0,0.0
51865,20.0,조형우,SSG,포수,2002-04-04,187.0,95.0,송정동초-무등중-광주제일고-SK,51865,0.238,102,294,269,23,64,8,0,4,84,29,0,0,1,2,19,0,3,64,5,0.312,0.294,4,0.0,13,0.606,0.244,0.0
51868,18.0,고명준,SSG,내야수,2002-07-08,185.0,94.0,서원초-세광중-세광고-SK,51868,0.278,130,500,471,46,131,20,1,17,204,64,2,0,0,7,20,1,2,99,12,0.433,0.306,3,100.0,43,0.739,0.235,0.0
51903,42.0,김정호,NC,포수,1998-07-13,172.0,84.0,대구옥산초-경복중-포항제철고-성균관대,51903,0.444,8,11,9,3,4,0,0,0,4,0,0,0,1,0,0,0,1,4,0,0.444,0.5,0,0.0,1,0.944,0.0,0.0
